2025-08-04 22:36:18,052 | INFO | Epoch 23 | Train Precision: 0.9966, Recall: 0.9964, F1: 0.9965, AP: 0.9950
2025-08-04 22:36:18,052 | INFO | Epoch 23 | Train AUC: 0.9959
2025-08-04 22:36:22,623 | INFO | Epoch 23 | Val Acc: 0.7814
2025-08-04 22:36:22,640 | INFO | Epoch 23 | Val Precision: 0.7249, Recall: 0.9961, F1: 0.8391, AP: 0.7243
2025-08-04 22:36:22,641 | INFO | Epoch 23 | Val AUC: 0.7451
2025-08-04 22:36:54,906 | INFO | Epoch 24 | Train Loss: 5.3969, Train Acc: 0.9926
2025-08-04 22:36:54,957 | INFO | Epoch 24 | Train Precision: 0.9930, Recall: 0.9940, F1: 0.9935, AP: 0.9904
2025-08-04 22:36:54,957 | INFO | Epoch 24 | Train AUC: 0.9924
2025-08-04 22:36:59,850 | INFO | Epoch 24 | Val Acc: 0.7876
2025-08-04 22:36:59,867 | INFO | Epoch 24 | Val Precision: 0.7304, Recall: 0.9970, F1: 0.8431, AP: 0.7299
2025-08-04 22:36:59,867 | INFO | Epoch 24 | Val AUC: 0.7521
2025-08-04 22:37:32,096 | INFO | Epoch 25 | Train Loss: 2.6130, Train Acc: 0.9964
2025-08-04 22:37:32,145 | INFO | Epoch 25 | Train Precision: 0.9966, Recall: 0.9970, F1: 0.9968, AP: 0.9953
2025-08-04 22:37:32,146 | INFO | Epoch 25 | Train AUC: 0.9963
2025-08-04 22:37:36,427 | INFO | Epoch 25 | Val Acc: 0.7076
2025-08-04 22:37:36,450 | INFO | Epoch 25 | Val Precision: 0.6623, Recall: 0.9980, F1: 0.7962, AP: 0.6621
2025-08-04 22:37:36,450 | INFO | Epoch 25 | Val AUC: 0.6584
2025-08-04 22:38:10,412 | INFO | Epoch 26 | Train Loss: 3.4287, Train Acc: 0.9951
2025-08-04 22:38:10,459 | INFO | Epoch 26 | Train Precision: 0.9949, Recall: 0.9966, F1: 0.9957, AP: 0.9934
2025-08-04 22:38:10,459 | INFO | Epoch 26 | Train AUC: 0.9949
2025-08-04 22:38:15,902 | INFO | Epoch 26 | Val Acc: 0.9166
2025-08-04 22:38:15,926 | INFO | Epoch 26 | Val Precision: 0.8820, Recall: 0.9862, F1: 0.9312, AP: 0.8778
2025-08-04 22:38:15,926 | INFO | Epoch 26 | Val AUC: 0.9048
2025-08-04 22:38:16,433 | INFO | Saved best model top30 to /root/Project/weights/RCNN/SGDF/SGDF_RCNN_top30.pth
2025-08-04 22:38:16,971 | INFO | Saved best model top50 to /root/Project/weights/RCNN/SGDF/SGDF_RCNN_top50.pth
2025-08-04 22:38:49,578 | INFO | Epoch 27 | Train Loss: 3.9348, Train Acc: 0.9945
2025-08-04 22:38:49,619 | INFO | Epoch 27 | Train Precision: 0.9951, Recall: 0.9953, F1: 0.9952, AP: 0.9931
2025-08-04 22:38:49,619 | INFO | Epoch 27 | Train AUC: 0.9944
2025-08-04 22:38:53,994 | INFO | Epoch 27 | Val Acc: 0.8096
2025-08-04 22:38:54,014 | INFO | Epoch 27 | Val Precision: 0.7519, Recall: 0.9961, F1: 0.8569, AP: 0.7512
2025-08-04 22:38:54,014 | INFO | Epoch 27 | Val AUC: 0.7780
2025-08-04 22:39:26,261 | INFO | Epoch 28 | Train Loss: 2.5563, Train Acc: 0.9968
2025-08-04 22:39:26,300 | INFO | Epoch 28 | Train Precision: 0.9968, Recall: 0.9977, F1: 0.9972, AP: 0.9958
2025-08-04 22:39:26,300 | INFO | Epoch 28 | Train AUC: 0.9967
2025-08-04 22:39:31,136 | INFO | Epoch 28 | Val Acc: 0.8180
2025-08-04 22:39:31,162 | INFO | Epoch 28 | Val Precision: 0.7607, Recall: 0.9951, F1: 0.8623, AP: 0.7598
2025-08-04 22:39:31,162 | INFO | Epoch 28 | Val AUC: 0.7881
2025-08-04 22:40:03,522 | INFO | Epoch 29 | Train Loss: 3.3442, Train Acc: 0.9953
2025-08-04 22:40:03,573 | INFO | Epoch 29 | Train Precision: 0.9964, Recall: 0.9953, F1: 0.9958, AP: 0.9944
2025-08-04 22:40:03,573 | INFO | Epoch 29 | Train AUC: 0.9953
2025-08-04 22:40:08,578 | INFO | Epoch 29 | Val Acc: 0.8507
2025-08-04 22:40:08,603 | INFO | Epoch 29 | Val Precision: 0.7978, Recall: 0.9902, F1: 0.8836, AP: 0.7956
2025-08-04 22:40:08,603 | INFO | Epoch 29 | Val AUC: 0.8271
2025-08-04 22:40:41,018 | INFO | Epoch 30 | Train Loss: 3.0774, Train Acc: 0.9962
2025-08-04 22:40:41,057 | INFO | Epoch 30 | Train Precision: 0.9962, Recall: 0.9972, F1: 0.9967, AP: 0.9950
2025-08-04 22:40:41,057 | INFO | Epoch 30 | Train AUC: 0.9961
2025-08-04 22:40:46,215 | INFO | Epoch 30 | Val Acc: 0.8045
2025-08-04 22:40:46,247 | INFO | Epoch 30 | Val Precision: 0.7461, Recall: 0.9980, F1: 0.8539, AP: 0.7458
2025-08-04 22:40:46,247 | INFO | Epoch 30 | Val AUC: 0.7717
2025-08-04 22:41:18,602 | INFO | Epoch 31 | Train Loss: 4.7052, Train Acc: 0.9947
2025-08-04 22:41:18,641 | INFO | Epoch 31 | Train Precision: 0.9951, Recall: 0.9955, F1: 0.9953, AP: 0.9932
2025-08-04 22:41:18,641 | INFO | Epoch 31 | Train AUC: 0.9945
2025-08-04 22:41:23,548 | INFO | Epoch 31 | Val Acc: 0.8879
2025-08-04 22:41:23,570 | INFO | Epoch 31 | Val Precision: 0.8401, Recall: 0.9931, F1: 0.9102, AP: 0.8383
2025-08-04 22:41:23,570 | INFO | Epoch 31 | Val AUC: 0.8701
2025-08-04 22:41:55,871 | INFO | Epoch 32 | Train Loss: 3.0028, Train Acc: 0.9954
2025-08-04 22:41:55,916 | INFO | Epoch 32 | Train Precision: 0.9962, Recall: 0.9957, F1: 0.9959, AP: 0.9943
2025-08-04 22:41:55,916 | INFO | Epoch 32 | Train AUC: 0.9953
2025-08-04 22:42:00,628 | INFO | Epoch 32 | Val Acc: 0.8417
2025-08-04 22:42:00,650 | INFO | Epoch 32 | Val Precision: 0.7851, Recall: 0.9961, F1: 0.8781, AP: 0.7843
2025-08-04 22:42:00,650 | INFO | Epoch 32 | Val AUC: 0.8156
2025-08-04 22:42:32,990 | INFO | Epoch 33 | Train Loss: 1.4132, Train Acc: 0.9987
2025-08-04 22:42:33,040 | INFO | Epoch 33 | Train Precision: 0.9987, Recall: 0.9989, F1: 0.9988, AP: 0.9983
2025-08-04 22:42:33,040 | INFO | Epoch 33 | Train AUC: 0.9986
2025-08-04 22:42:37,696 | INFO | Epoch 33 | Val Acc: 0.8992
2025-08-04 22:42:37,718 | INFO | Epoch 33 | Val Precision: 0.8550, Recall: 0.9921, F1: 0.9185, AP: 0.8527
2025-08-04 22:42:37,718 | INFO | Epoch 33 | Val AUC: 0.8834
2025-08-04 22:43:10,177 | INFO | Epoch 34 | Train Loss: 3.3251, Train Acc: 0.9961
2025-08-04 22:43:10,226 | INFO | Epoch 34 | Train Precision: 0.9966, Recall: 0.9966, F1: 0.9966, AP: 0.9951
2025-08-04 22:43:10,226 | INFO | Epoch 34 | Train AUC: 0.9960
2025-08-04 22:43:15,043 | INFO | Epoch 34 | Val Acc: 0.8828
2025-08-04 22:43:15,069 | INFO | Epoch 34 | Val Precision: 0.8361, Recall: 0.9892, F1: 0.9062, AP: 0.8333
2025-08-04 22:43:15,069 | INFO | Epoch 34 | Val AUC: 0.8648
2025-08-04 22:43:47,404 | INFO | Epoch 35 | Train Loss: 3.6704, Train Acc: 0.9951
2025-08-04 22:43:47,443 | INFO | Epoch 35 | Train Precision: 0.9953, Recall: 0.9962, F1: 0.9957, AP: 0.9937
2025-08-04 22:43:47,444 | INFO | Epoch 35 | Train AUC: 0.9950
2025-08-04 22:43:52,643 | INFO | Epoch 35 | Val Acc: 0.8839
2025-08-04 22:43:52,669 | INFO | Epoch 35 | Val Precision: 0.8347, Recall: 0.9941, F1: 0.9075, AP: 0.8332
2025-08-04 22:43:52,669 | INFO | Epoch 35 | Val AUC: 0.8653
